ï»¿id,name,website,lat,long,primary_poc,sales_rep_id
2947,"CVS Health",www.cvshealth.com,41.46779585,-73.76763638,"Anabel Haskell",321560
1131,Chevron,www.chevron.com,42.6119413,-76.36123105,"Paige Bartos",321630
1141,Costco,www.costco.com,42.26304566,-74.80916921,"Dominique Favela",321640
1201,"Cardinal Health",www.cardinal.com,41.31906537,-77.52512192,"Deanne Hertlein",321700
1281,Citigroup,www.citigroup.com,40.85305429,-76.49044823,"Bea Sera",321570
1361,Comcast,www.comcastcorporation.com,42.54154764,-76.24992387,"Shana Sanborn",321650
1531,"Cisco Systems",www.cisco.com,41.20101093,-76.53824668,"Deadra Waggener",321610
2961,Coca-Cola,www.coca-colacompany.com,40.76216116,-73.9802105,"Tisha Coletti",321690
2111,"Capital One Financial",www.capitalone.com,41.87811613,-87.63264013,"Debby Myers",321760
2231,Centene,www.centene.com,41.87744125,-87.62568362,"Shanika Mariani",321790
2471,Cummins,www.cummins.com,40.42480254,-94.07990516,"Lavonda Geier",321760
2901,CarMax,www.carmax.com,33.78790683,-84.3552477,"Bobbi Rackers",321860
3021,CBS,www.cbscorporation.com,33.74979835,-84.3674757,"Huong Fortino",321880
3071,"C.H. Robinson Worldwide",www.chrobinson.com,30.43150596,-84.27163286,"Crissy Cottle",321830
3221,"Chesapeake Energy",www.chk.com,30.45037802,-84.27915776,"Teddy Braddock",321880
3381,CSX,www.csx.com,37.25849318,-88.24483226,"Shirely Cantara",321860
3581,"CBRE Group",www.cbre.com,34.05591179,-118.2477549,"Martina Haas",321980
3981,"CST Brands",www.cstbrands.com,34.05521925,-118.2424474,"Shasta Rodas",321980
4041,Celgene,www.celgene.com,38.43307208,-121.5845288,"Carisa Tinajero",321940
4161,"Core-Mark Holding",www.core-mark.com,38.60488242,-121.399458,"Marita Demasi",321960
4361,"Campbell Soup",www.campbellsoupcompany.com,36.17162482,-115.1572532,"Barrie Omega",321920
