ï»¿id,name,website,lat,long,primary_poc,sales_rep_id,id,account_id,occurred_at,standard_qty,gloss_qty,poster_qty,total,standard_amt_usd,gloss_amt_usd,poster_amt_usd,total_amt_usd,modified_id,modified_acc,modified_st_qty,modified_pos_qty,modified_gloss_qty,modified_std_amt,modified_glo_amt,modified_pos_amt
1001,Walmart,www.walmart.com,40.23849561,-75.10329704,"Tamara Tuma",321500,16,1001,2016-12-24T05:53:13.000Z,123,127,19,269,613.77,951.23,154.28,1719.28,1001,1001,123,19,127,613.77,951.23,154.28
1001,Walmart,www.walmart.com,40.23849561,-75.10329704,"Tamara Tuma",321500,15,1001,2016-11-25T23:21:32.000Z,127,39,44,210,633.73,292.11,357.28,1283.12,1001,1001,127,44,39,633.73,292.11,357.28
1001,Walmart,www.walmart.com,40.23849561,-75.10329704,"Tamara Tuma",321500,14,1001,2016-10-26T20:31:30.000Z,97,143,54,294,484.03,1071.07,438.48,1993.58,1001,1001,97,54,143,484.03,1071.07,438.48
1001,Walmart,www.walmart.com,40.23849561,-75.10329704,"Tamara Tuma",321500,13,1001,2016-09-26T23:28:25.000Z,104,10,44,158,518.96,74.9,357.28,951.14,1001,1001,104,44,10,518.96,74.9,357.28
1001,Walmart,www.walmart.com,40.23849561,-75.10329704,"Tamara Tuma",321500,12,1001,2016-08-28T07:13:39.000Z,124,33,39,196,618.76,247.17,316.68,1182.61,1001,1001,124,39,33,618.76,247.17,316.68
1001,Walmart,www.walmart.com,40.23849561,-75.10329704,"Tamara Tuma",321500,11,1001,2016-07-30T03:26:30.000Z,101,36,0,137,503.99,269.64,0,773.63,1001,1001,101,0,36,503.99,269.64,0
1001,Walmart,www.walmart.com,40.23849561,-75.10329704,"Tamara Tuma",321500,10,1001,2016-06-30T12:32:05.000Z,94,46,8,148,469.06,344.54,64.96,878.56,1001,1001,94,8,46,469.06,344.54,64.96
1001,Walmart,www.walmart.com,40.23849561,-75.10329704,"Tamara Tuma",321500,9,1001,2016-05-31T21:22:48.000Z,91,16,22,129,454.09,119.84,178.64,752.57,1001,1001,91,22,16,454.09,119.84,178.64
1001,Walmart,www.walmart.com,40.23849561,-75.10329704,"Tamara Tuma",321500,8,1001,2016-05-01T15:55:51.000Z,95,47,151,293,474.05,352.03,1226.12,2052.2,1001,1001,95,151,47,474.05,352.03,1226.12
1001,Walmart,www.walmart.com,40.23849561,-75.10329704,"Tamara Tuma",321500,7,1001,2016-04-01T11:20:18.000Z,101,33,92,226,503.99,247.17,747.04,1498.2,1001,1001,101,92,33,503.99,247.17,747.04
1001,Walmart,www.walmart.com,40.23849561,-75.10329704,"Tamara Tuma",321500,6,1001,2016-03-02T15:29:32.000Z,103,24,46,173,513.97,179.76,373.52,1067.25,1001,1001,103,46,24,513.97,179.76,373.52
1001,Walmart,www.walmart.com,40.23849561,-75.10329704,"Tamara Tuma",321500,5,1001,2016-02-01T19:27:27.000Z,108,29,28,165,538.92,217.21,227.36,983.49,1001,1001,108,28,29,538.92,217.21,227.36
1001,Walmart,www.walmart.com,40.23849561,-75.10329704,"Tamara Tuma",321500,4,1001,2016-01-02T01:18:24.000Z,144,32,0,176,718.56,239.68,0,958.24,1001,1001,144,0,32,718.56,239.68,0
1001,Walmart,www.walmart.com,40.23849561,-75.10329704,"Tamara Tuma",321500,3,1001,2015-12-04T04:21:55.000Z,85,47,0,132,424.15,352.03,0,776.18,1001,1001,85,0,47,424.15,352.03,0
1001,Walmart,www.walmart.com,40.23849561,-75.10329704,"Tamara Tuma",321500,2,1001,2015-11-05T03:34:33.000Z,190,41,57,288,948.1,307.09,462.84,1718.03,1001,1001,190,57,41,948.1,307.09,462.84
1001,Walmart,www.walmart.com,40.23849561,-75.10329704,"Tamara Tuma",321500,1,1001,2015-10-06T17:31:14.000Z,123,22,24,169,613.77,164.78,194.88,973.43,1001,1001,123,24,22,613.77,164.78,194.88
1011,"Exxon Mobil",www.exxonmobil.com,41.1691563,-73.84937379,"Sung Shields",321510,17,1011,2016-12-21T10:59:34.000Z,527,14,0,541,2629.73,104.86,0,2734.59,1011,1011,527,0,14,2629.73,104.86,0
1021,Apple,www.apple.com,42.29049481,-76.08400942,"Jodee Lupo",321520,23,1021,2016-03-10T00:38:52.000Z,555,19,4,578,2769.45,142.31,32.48,2944.24,1021,1021,555,4,19,2769.45,142.31,32.48
1021,Apple,www.apple.com,42.29049481,-76.08400942,"Jodee Lupo",321520,22,1021,2016-02-09T00:50:46.000Z,502,4,9,515,2504.98,29.96,73.08,2608.02,1021,1021,502,9,4,2504.98,29.96,73.08
1021,Apple,www.apple.com,42.29049481,-76.08400942,"Jodee Lupo",321520,21,1021,2016-01-10T09:29:45.000Z,535,0,34,569,2669.65,0,276.08,2945.73,1021,1021,535,34,0,2669.65,0,276.08
