Account_name,Total_spent,Level
"Pacific Life",255319.18000000002,"greater than 200000"
Mosaic,172180.04,"Between 100000 and 200000"
CHS,163471.78,"Between 100000 and 200000"
"Core-Mark Holding",148105.9299999999,"Between 100000 and 200000"
Disney,129157.37999999999,"Between 100000 and 200000"
"National Oilwell Varco",121873.16,"Between 100000 and 200000"
"Sears Holdings",114003.21000000002,"Between 100000 and 200000"
"State Farm Insurance Cos.",111810.54999999999,"Between 100000 and 200000"
"Fidelity National Financial",110027.29000000001,"Between 100000 and 200000"
"BB&T Corp.",107300.05,"Between 100000 and 200000"
"Arrow Electronics",105426.87000000001,"Between 100000 and 200000"
"United States Steel",104452.39,"Between 100000 and 200000"
Walmart,102363.34000000001,"Between 100000 and 200000"
Jarden,100993.44,"Between 100000 and 200000"
Target,99778.69000000002,"Under 100000"
"SunTrust Banks",99125.76000000001,"Under 100000"
"General Dynamics",98377.59,"Under 100000"
"State Street Corp.",96673.98,"Under 100000"
Pfizer,95339.33,"Under 100000"
Raytheon,94725.92000000001,"Under 100000"
"Goodyear Tire & Rubber",90258.51,"Under 100000"
Kohl's,90105.16,"Under 100000"
"D.R. Horton",89544.65999999999,"Under 100000"
"Franklin Resources",86555.72000000002,"Under 100000"
Allstate,85842.14,"Under 100000"
"Bristol-Myers Squibb",85495.29000000001,"Under 100000"
"Occidental Petroleum",85440.98000000001,"Under 100000"
IBM,85282.62999999999,"Under 100000"
"Leucadia National",84784.63,"Under 100000"
"Western Digital",84481.77,"Under 100000"
"Archer Daniels Midland",84344.61000000002,"Under 100000"
"Wells Fargo",83886.20000000001,"Under 100000"
Fluor,83287.31,"Under 100000"
"Emerson Electric",82527.79000000001,"Under 100000"
Amgen,82013.04999999999,"Under 100000"
Synnex,81722.47000000002,"Under 100000"
Caterpillar,81700.32999999999,"Under 100000"
"PG&E Corp.",81697.27,"Under 100000"
KKR,81222.69,"Under 100000"
"Duke Energy",80494.19000000002,"Under 100000"
Intel,79491.18,"Under 100000"
HollyFrontier,79488.37000000001,"Under 100000"
Celgene,78164.22999999998,"Under 100000"
"DISH Network",78105.12999999999,"Under 100000"
"Lincoln National",77628.11,"Under 100000"
Supervalu,77271.55,"Under 100000"
Nationwide,76630.92000000001,"Under 100000"
CDW,76392.22000000002,"Under 100000"
Centene,76364.92000000001,"Under 100000"
"Jacobs Engineering Group",75600.49,"Under 100000"
Broadcom,75130.49999999999,"Under 100000"
"Crown Holdings",75110.81,"Under 100000"
"Public Service Enterprise Group",73833.01,"Under 100000"
Sysco,73636.55,"Under 100000"
3M,70895.01,"Under 100000"
"Prudential Financial",67868.76000000001,"Under 100000"
"Hormel Foods",67706.16,"Under 100000"
"Avis Budget Group",67410.18000000001,"Under 100000"
"Thermo Fisher Scientific",66922.07999999999,"Under 100000"
"Freddie Mac",66821.09000000001,"Under 100000"
Avnet,66812.23999999999,"Under 100000"
"Molina Healthcare",66381.57,"Under 100000"
AutoZone,65958.07,"Under 100000"
"EOG Resources",65894.28,"Under 100000"
"Ford Motor",65571.97,"Under 100000"
Boeing,65091.39,"Under 100000"
"Dominion Resources",64604,"Under 100000"
CarMax,64251.560000000005,"Under 100000"
Citigroup,63746.46,"Under 100000"
"Precision Castparts",63743.89,"Under 100000"
"Cognizant Technology Solutions",62504.05,"Under 100000"
"Phillips 66",62166.05999999999,"Under 100000"
"Time Warner",61892.95999999999,"Under 100000"
"Genuine Parts",61561.44,"Under 100000"
Visa,61255.49999999999,"Under 100000"
Verizon,61216.36,"Under 100000"
Aetna,60874.20000000001,"Under 100000"
"Anadarko Petroleum",60608.479999999996,"Under 100000"
Kroger,59946.4,"Under 100000"
"NRG Energy",59727.21,"Under 100000"
"International Paper",59086.759999999995,"Under 100000"
"Time Warner Cable",57130.53,"Under 100000"
eBay,57088.170000000006,"Under 100000"
"Eversource Energy",57059.76,"Under 100000"
"Discover Financial Services",57035.05,"Under 100000"
"Community Health Systems",56644.600000000006,"Under 100000"
"Honeywell International",56479.13999999999,"Under 100000"
"Toys 'R' Us",56179.21000000001,"Under 100000"
HP,56162.34,"Under 100000"
"United Technologies",55965.45999999999,"Under 100000"
"J.P. Morgan Chase",55801.99999999999,"Under 100000"
"Philip Morris International",52570.66,"Under 100000"
"Valero Energy",52020.600000000006,"Under 100000"
Freeport-McMoRan,49162.7,"Under 100000"
"Office Depot",49027.09999999999,"Under 100000"
Qualcomm,48862.43,"Under 100000"
Entergy,48856.27000000001,"Under 100000"
BlackRock,48670.82,"Under 100000"
"Northrop Grumman",48578.159999999996,"Under 100000"
"Texas Instruments",48529.08,"Under 100000"
Paccar,47685.04,"Under 100000"
"Performance Food Group",47645.86,"Under 100000"
USAA,46822.63,"Under 100000"
Chevron,46725.41,"Under 100000"
Nucor,46401.28,"Under 100000"
"First Data",45967.25,"Under 100000"
"Walgreens Boots Alliance",45276.270000000004,"Under 100000"
Aflac,45241.58000000001,"Under 100000"
"Cisco Systems",45220.149999999994,"Under 100000"
Anthem,44875.42,"Under 100000"
"PayPal Holdings",44735.91000000001,"Under 100000"
CenturyLink,44535.04,"Under 100000"
Alphabet,44407.22,"Under 100000"
"Land O'Lakes",44322.12000000001,"Under 100000"
Merck,43631.16999999999,"Under 100000"
"Marathon Petroleum",43431.34999999999,"Under 100000"
Lowe's,43292.28,"Under 100000"
Progressive,43011.909999999996,"Under 100000"
"Charter Communications",42773.23,"Under 100000"
"CST Brands",42674.219999999994,"Under 100000"
"United Continental Holdings",42573.909999999996,"Under 100000"
"PNC Financial Services Group",42237.28,"Under 100000"
"American Express",41864.12999999998,"Under 100000"
Cigna,41733.530000000006,"Under 100000"
TJX,41712.71,"Under 100000"
"Global Partners",41690.4,"Under 100000"
"American Family Insurance Group",41540.979999999996,"Under 100000"
BorgWarner,41242.060000000005,"Under 100000"
Colgate-Palmolive,40818.880000000005,"Under 100000"
FedEx,40738.29,"Under 100000"
"NGL Energy Partners",40607.06999999999,"Under 100000"
"Southwest Airlines",40539.45,"Under 100000"
"Cameron International",40370.52,"Under 100000"
"Farmers Insurance Exchange",39949.409999999996,"Under 100000"
"Stanley Black & Decker",39805.61,"Under 100000"
Kellogg,39586.70999999999,"Under 100000"
"New York Life Insurance",39379.37000000001,"Under 100000"
"Best Buy",39104.08999999999,"Under 100000"
"Icahn Enterprises",38851.149999999994,"Under 100000"
"Ameriprise Financial",38619.07000000001,"Under 100000"
"Sempra Energy",38569.85,"Under 100000"
GameStop,38469.65,"Under 100000"
FirstEnergy,38215.530000000006,"Under 100000"
"Thrivent Financial for Lutherans",38204.46000000001,"Under 100000"
"Estee Lauder",38198.82000000001,"Under 100000"
"Johnson Controls",37796.280000000006,"Under 100000"
"Ally Financial",37653.96,"Under 100000"
Ecolab,37527.66999999999,"Under 100000"
"Mondelez International",37465.37,"Under 100000"
ADP,37456.04,"Under 100000"
"Edison International",37010.95,"Under 100000"
EMC,36982.12,"Under 100000"
"Omnicom Group",36801.71000000001,"Under 100000"
"Republic Services",36695.68,"Under 100000"
"Reynolds American",36668.28999999999,"Under 100000"
"Altria Group",36318.37,"Under 100000"
"Murphy USA",36294.27,"Under 100000"
"R.R. Donnelley & Sons",36218.43,"Under 100000"
"Becton Dickinson",35961.76,"Under 100000"
CSX,35759.700000000004,"Under 100000"
"Henry Schein",35487.34,"Under 100000"
Cummins,34839.82,"Under 100000"
Southern,34809.88,"Under 100000"
"News Corp.",34675.03,"Under 100000"
"DaVita HealthCare Partners",33982.78,"Under 100000"
Viacom,33673.85999999999,"Under 100000"
